Origen|Bolsa de Madrid|Casa de Cervantes|Catedral de Sta María la Real de la Almudena|Congreso de los Diputados|Escenario Puerta del Angel|Iglesia Ortodoxa Rusa de Santa Maria Magdalena|Iglesia de San Pascual|Iglesia del Convento de las Descalzas Reales|La Mariblanca|Ministerio de Sanidad|Monasterio de la Encarnación|Museo Cerralbo|Palacio De Cristal|Palacio Real de Madrid|Palacio Vistalegre|Palacio de Cibeles|Palacio de Santa Cruz|Parroquia de Nuestra Señora del Buen Suceso|Paseo del Prado|Plaza de Cibeles|Plaza de Santa Ana|Puente del Rey|Puerta de Alcalá|Real Oratorio Del Caballero de Gracia|Templo de Debod|Tribunal Supremo|Puerta del Sol
Bolsa de Madrid|0.0|1.1103588634105404|2.0685808335778555|0.5284102032605549|4.359849860870964|7.6023877196421275|0.6580344626903846|1.5455238898451638|1.2045988627256017|0.5499463356713261|1.9965735226077328|2.4752536392988054|1.140913151615426|2.035647855599537|6.375601490139401|0.2946538353100365|1.4851387035062582|3.0026841362211623|0.2170993189926454|0.4299624775419606|1.0826541898853832|3.1842067131335385|0.7307705346617676|1.0305071643880752|2.7277138070042004|1.2104332713772554|1.1144296446200768
Casa de Cervantes|1.1144787116896553|0.0|1.5025988947967162|0.8222972890847914|3.5134572653927347|8.531206275310808|1.4184854562855267|1.128705725664648|0.7615149294881387|0.5836669670957796|1.534015573994675|2.187274975872402|1.7545975182456626|1.4810599690887212|5.575092435746433|1.3217146897484828|0.6751189424475731|2.7354249067663345|1.2645691347210115|1.3988038762362809|0.3572707025910902|2.626727046657264|1.7578313891002142|1.0038266117891108|2.4401553581880933|1.7799888414651628|0.658736113460041
Catedral de Sta María la Real de la Almudena|2.068580833577854|1.5066246680153494|0.0|1.5401706303172995|2.453207488720377|9.20088005196614|2.0881592329408507|1.0310860803784594|0.9143397045258592|2.0902916351111283|0.6838961795415166|1.0842720793944562|3.261222186261012|0.2476494068307672|5.070123905098537|2.0647688219182685|0.8593199175209363|1.85343373579106|2.107923501963937|2.0684776528916045|1.4193579538005738|1.5381799106251122|2.4020050177719843|1.447268536613228|1.2856646876205524|2.4353033360472165|0.9541511889577784
Congreso de los Diputados|0.528410203260555|0.8222972890847914|1.5401706303173002|0.0|3.831439657610409|7.941026705498762|0.8283058864734805|1.0171136865846089|0.6761886594650462|0.5562339186183513|1.4681633193471773|2.0075682117271416|1.5278068996742125|1.5072376523389814|5.847191286878843|0.6987799399196422|0.9567285002457036|2.555336739826533|0.6417733790804058|0.7885682027458918|0.5542439866248281|2.6822598665098427|1.134896639271373|0.657995730050738|2.260448594042832|1.1985720313796542|0.5860194413595213
Escenario Puerta del Angel|4.355406593205369|3.5260106771044217|2.4826755421684235|3.8269963899448154|0.0|11.487705811593658|4.374984992568368|3.423148420488657|3.2011654641533736|4.109677644200201|3.044710946436478|3.2020227287068592|5.280608195350083|2.6084641737257286|4.288674723893596|4.351594581545784|3.010367937821792|3.940099959167551|4.3947492615914525|4.35530341251912|3.4387439628896463|2.026788902825745|4.6888307773995|3.7340942962407424|3.2589872668829263|4.72212909567473|3.240976948585293
Iglesia Ortodoxa Rusa de Santa Maria Magdalena|7.713326949326548|8.511144525149874|9.162083696257652|7.920964955337824|11.45335272355075|0.0|7.094712188356642|8.213579468260546|8.265442346428584|8.220722940427402|8.561464357250273|8.464209419156049|7.6361472004462625|9.129150718279334|13.626632684796874|7.41867311401651|8.589452312136267|8.145168973586653|7.516385436452709|7.3048606974439965|8.272557644960624|9.370343074779996|6.931359069159495|7.907727412003614|8.826622047378248|6.97155546808909|8.237652954931889
Iglesia de San Pascual|0.6580344626903846|1.4184854562855267|2.088159232940852|0.8283058864734805|4.3794282602339605|7.114773938517582|0.0|1.4386225855625951|1.173819528414992|1.1057163670386638|1.8491612138100395|2.2599497023772983|1.632870448378346|2.055226254962533|6.5339736159325215|0.3605181998678901|1.4967932432719264|2.7873801992996547|0.4582305223040876|0.24670578329537604|1.1798985760962797|2.957922599003717|0.5802331481757551|0.8161045939900196|2.512830084692989|0.5667455606480268|1.144993886067546
Iglesia del Convento de las Descalzas Reales|1.5473134004943745|1.1623963716794772|1.0177359846897087|1.0189031972338196|3.3891064990644093|8.163341460913975|1.4375390251379525|0.0|0.3936754982332017|1.5729503471211077|0.5768312722212277|1.2167028068964798|2.546710096908032|0.7053396458054516|5.997246687730023|1.4124145234134184|0.5192294636960638|1.741462697649997|1.46304917708724|1.4161233543867544|0.9801354607797154|1.7909278193838922|1.751384809969086|0.6210000714374339|1.4695831892121691|1.6568761413919744|0.4847247718333281
La Mariblanca|1.2045988627256008|0.7881948888218697|0.9143397045258592|0.6761886594650464|3.205608731818968|8.286540347440273|1.1738195284149917|0.386664811552104|0.0|1.2324225780833975|0.7919746598821304|1.4658560082052343|2.2039955591392597|0.9204830334663544|5.3601540875175315|1.1504291173924093|0.3229737148569341|2.0175724492669116|1.1935837974380787|1.1541379483657457|0.662004564045336|2.0060712070447946|1.4876653132461246|0.532928832087369|1.7215735157658971|1.5209636315213564|0.11052328897572126
Ministerio de Sanidad|0.5499463356713259|0.5795471188166648|2.082146013613381|0.5562339186183513|4.0930043842094|8.064916198062244|1.0846515846395977|1.57334760520296|1.2324225780833982|0.0|2.024397237965529|2.563802130345493|1.222575248742347|2.0606070879053857|5.9521639425969335|0.7571823137301538|1.254666061264238|3.1115706584448835|0.7000367587026819|0.8469705765564033|0.9368178214077552|3.2384937851281954|1.1932990130818848|1.2142296486690898|2.8166825126611843|1.6729617497973723|1.242403080555821
Monasterio de la Encarnación|2.036649491802803|1.5792988015515543|0.6838961795415166|1.4811817058994696|3.046490466203671|8.552118911298543|1.8351272945722992|0.5901813679099783|0.8049930464344232|2.043000506188676|0.0|0.7125401052885629|3.008988605573681|0.3666861467334792|5.66340688258183|1.8358099302829929|0.9192010829434744|1.4576340065984557|1.8864445839568145|1.8395187612563288|1.4531084767750209|1.2611363168374103|2.148973079403432|1.0426613876050563|0.976638625558512|2.0534990545302296|0.8960423200345498
Museo Cerralbo|2.497777130072886|2.2291123947879483|1.0842720793944562|2.008125649901952|3.16863550795785|8.503005774864537|2.270484533939648|1.1942516077254173|1.4741238992509818|2.5643595685203042|0.7214192194475643|0.0|3.5740981613015466|0.836622672563689|5.820718664852213|2.2594100263593333|1.5690146761798671|0.7691616563966036|2.3100446800331547|2.2631188573326675|2.077719429667949|1.177611207479809|2.596646222213047|1.4662614836813948|0.4634623143733336|2.2025253558102746|1.5717162467538144
Palacio De Cristal|1.1629335305785884|1.7504776699665467|3.2530765647632616|1.541560645798537|5.263934935359278|7.671764925007308|1.6266065928725448|2.5586743323831453|2.2177493052635837|1.222575248742347|3.0097239651457133|3.545310815021665|0.0|3.0487982981375183|7.123130006699735|1.3415238444579891|2.4255966124141186|4.07274131194402|1.2639693281405984|1.4112420244090862|2.1077483725576376|4.282548123325362|1.1324861218492572|2.100564340110932|3.7977709827270583|1.8780390120022563|2.127580087158058
Palacio Real de Madrid|2.0120934206892014|1.4615313073970198|0.2712038417411019|1.4836832174286467|2.633798128403255|8.93618870055593|2.0316718200521984|0.7834366735476921|0.8814067265475407|2.0451982744927992|0.4362467727107495|0.8601771074740238|3.2161288256426817|0.0|5.250714544781413|2.008281409029616|0.8377809918129413|1.6293387638706271|2.0514360890752843|2.011990240002952|1.374264593182244|1.3460674069790184|2.3455176048833306|1.3841518944095863|1.06156971570012|2.3788159231585637|0.8976637760691252
Palacio Vistalegre|6.369881434516832|5.570272667234824|5.0697066990723|5.8414712312562775|4.288674723893597|13.550380217482306|6.437659398457012|5.5556044476459485|5.35443403189496|5.946443886974364|5.655158126135979|5.871425446794605|7.154111746917944|5.218911353425231|0.0|6.330558116656528|5.119002650024333|6.515628775029682|6.395498118301681|6.417977818407768|5.483005953020047|4.6835318795909275|6.751505183288145|5.887362863982327|5.836817522503472|6.875397663416316|5.39424551632688
Palacio de Cibeles|0.2946538353100365|1.317594841469368|2.0254374007077227|0.698779939919642|4.316706428000831|7.307733884332093|0.3605181998678901|1.4091776934741462|1.1110976961818628|0.7571823137301538|1.797955143858715|2.2365592913547165|1.347787699963791|1.992504422729404|6.336278172279098|0.0|1.434071411038797|2.7639897882770734|0.09771232243619753|0.13530864223192407|1.0702086283417906|2.9455123651894497|0.4361166993517309|0.7918128164439867|2.489019459060112|0.9157794360672191|1.0822720538344168
Palacio de Santa Cruz|1.4851387035062582|0.6760192295585317|0.8572584373357798|0.9567285002457032|2.9987148132210635|8.60951406229721|1.496793243271926|0.5192294636960639|0.3229737148569341|1.2596861966543111|0.9274536645763964|1.6013350128995|2.430616747804192|0.9052801376050554|5.117971207475249|1.4734028322493438|0.0|2.248978227453737|1.5165575122950128|1.4771116632226802|0.588752515343756|2.1496961719783516|1.8106390281030595|0.8559025469443029|1.857052520460163|1.8439373463782909|0.3627851992888533
Parroquia de Nuestra Señora del Buen Suceso|3.0026841362211614|2.927190149083424|1.85343373579106|2.6306913853974705|3.902033917061428|8.151028130571378|2.7873801992996534|1.801647005944086|2.0815192974696517|3.197948100620302|1.490580875844167|0.7691616563966036|4.079005167449822|1.6057843289602929|6.5207298532067774|2.7639897882770725|2.2876306159005404|0.0|2.8289297899222285|2.7676986192504067|2.5615056414752764|1.9110096165833852|3.1012259841307865|2.005718928870598|0.9138555172539806|2.2887813475840284|2.192704794230578
