Tripadvisor,description,address,Excelente,Muybueno,Normal,Malo,Pesimo
Palacio Real de Madrid,"Home to the Kings of Spain from Charles III to Alfonso XIII, Madrid&#39;s Royal Palace takes us on a journey through the history of Spain. Though it is no longer the royal family&#39;s home, it continues to be their official residence.Long before Madrid became the capital of Spain, Emir Mohamed I chose Magerit (the city&#39;s Arabic name) as the site for a fortress to protect Toledo from the advancing Christians. The building was eventually used by the Kings of Castille until finally becoming what would be known as the&nbsp;Antiguo Alcázar&nbsp;(Old Fortress) in the 14th&nbsp;century. Charles I and his son Philip II turned the building into a permanent residence for the Spanish royal family. However, in 1734 a fire burnt the Palace of Los&nbsp;Austrias to the ground, and Philip V ordered the construction of the palace that stands today.Following the untimely death of&nbsp;Filippo Juvara, the architect originally commissioned to design the palace, it was his pupil Juan Bautista Sachetti who eventually drew up the final plans. Seventeen years passed between the laying of the first stone in 1738 and final completion of the work commissioned by Philip V. However, it was&nbsp;Charles III (known as the &quot;Mayor of Madrid&quot; due to the large number of reforms and initiatives that he undertook in the city) who became the first monarch to occupy the new building. His successors Charles IV (responsible for the creation of the Hall of Mirrors) and Ferdinand VII added many decorative details and furnishings, such as clocks, items of furniture and chandeliers.The palace, inspired by sketches made by Bernini for the construction of the Louvre in Paris, is built in the form of a square and looks out over a large courtyard with galleries and a parade ground. The decoration of the palace&#39;s rooms and their layout has gradually changed over the years as the building has been adapted to suit the needs of its residents.It comprises over 3000 rooms, including: the Main Staircase, designed by Sabatini with over 70 steps; the Throne Hall featuring a ceiling painted by Tiepolo; the Hall of Halberdiers, which Charles III turned into the Guards Room; the Gasparini Room, with its grand 18th&nbsp;century decoration on a floral theme; the Royal Chemist&#39;s&nbsp;with natural medicine cabinets, ceramic pots made by the&nbsp;La Granja factory, and even prescriptions given to members of the royal family; and the Royal Chapel, which is home to a collection of string instruments made by the legendary Antonio Stradivari.The Royal Armoury and the Painting GalleryThe Royal Armoury is one of the most significant collections of its kind, housing weapons and armour worn by the kings of Spain and other members of the royal family since the 13th century.&nbsp;The Painting Gallery is home to a large number of artistic treasures, including Virgin with Child&nbsp;by&nbsp;Luis Morales, Portrait of Isabella the Catholic&nbsp;by&nbsp;Juan de Flandes, Salome with the Head of John the Baptist&nbsp;by Caravaggio and works by such artists as Velázquez, Goya, Federico Madrazo and Sorolla.[[{""fid"":""145304"",""view_mode"":""full"",""fields"":{""format"":""full"",""field_file_image_alt_text[und][0][value]"":""La Real Cocina del Palacio Real"",""field_file_image_title_text[und][0][value]"":""La Real Cocina del Palacio Real"",""field_folder[und]"":""3489""},""type"":""media"",""link_text"":null,""attributes"":{""alt"":""La Real Cocina del Palacio Real"",""title"":""La Real Cocina del Palacio Real"",""height"":335,""width"":660,""class"":""media-element file-full""}}]]&nbsp;The Royal KitchenReopened in October 2017 after a major renovation, the palace&rsquo;s splendid Real Cocina are the oldest well-preserved kitchens of a European royal residence, notable for their size and the excellent state of their accessories. They occupy a large part of the first basement and their current appearance is the result of the redecoration ordered by Queen Isabella II and Alfonso XII between 1861 and 1880.Changing of the GuardDon&rsquo;t miss the Changing the guard (held on Wednesdays and Saturdays, weather permitting) and the magnificent&nbsp;Solemn changing&nbsp;the Guard, which takes place on the first Wednesday of each month, weather permitting (except January, August and September).","Calle de Bailen s/n, 28071 Madrid, España",9983,5249,1213,139,85
Museo Cerralbo,"This museum, one of the most important in Madrid, is also one of its least well-known. Located in what used to be the stately home of the 17th Marquis of Cerralbo, visitors to the museum are transported back in time to experience what life was like for an aristocratic family in late 19th-century Madrid. The classical style Palace, decorated with Neo-Baroque and&nbsp;Rococo elements,&nbsp;was designed with a dual purpose,&nbsp;as a home and a museum, headquarters of the works of art collected by the Marquis of &nbsp;Cerralbo and his children, the Marquises of Villa-Huerta, during their many trips in Spain and Europe. Therefore, the museum is made up of over 50,000 objects, including paintings, sculptures, ceramics, glass, tapestry, furniture, coins, medals, drawings, stamps, clocks, weapons, armour and archaeological objects...The Marquis of Cerralbo donated this property to the nation, setting up the Cerralbo Museum, so that his collections live on &ldquo;together and can be used for study by science and art lovers&rdquo;. &nbsp;Given that it is a palace-house, the different objects on display do not have any informative signs about the exhibited items (except those signs placed by the Marquis himself), during the visit, the museum offers a notebook with information and the most outstanding pieces, which is available in Spanish, English, French, Italian, Russian, Portuguese, German and Chinese. &nbsp;","C/ Ventura Rodríguez, 17, 28008 Madrid, España",956,390,60,7,6
Real Basílica de San Francisco el Grande,"This neoclassical style monumental basilica, close to the popular La Latina quarter, stands out for its artistic wealth that it houses inside, with canvases by Goya or Zurbarán, as well as its impressive dome, the largest in Spain and the fourth in Europe, behind Saint Peter&rsquo;s Basilica and the Pantheon, both in Rome, and the Basilica of Saint Mary of the Flower, in Florence.Declared a National Monument in 1980, the temple rises up, according to tradition, on the land that was offered to &nbsp;&nbsp;Saint Francis of Assisi&nbsp; following his time in Madrid in 1214 on his pilgrimage to Santiago de Compostela. On this site, three&nbsp; temples were erected prior to the current one, which dates back to the 18th century &nbsp;and which was carried out by the Franciscan Order. Between 1776 and 1784, its construction was completed under the &nbsp;management of Francisco Sabatini.The church consists of a central circular floor covered by a large dome &nbsp;with a diameter of &nbsp;33 metres and &nbsp;a height of 58 metres, a main chapel and six surrounding chapels also covered by domes. Inside, there is a large collection of paintings by Spanish artists from the 18th and 19th centuries, such as Goya, Zurbarán, Casto Plasencia, Francisco Jover, Martínez Cubells, José del Castillo, Moreno Carbonero, Eugenio Oliva, Menéndez Pidal, González Velázquez, Gregorio Ferro, Gaspar Crayer, Vicente Carducci, Antonio Carnicero, Alonso Cano or Lucas Jordán, as well as important sculptures in white marble.&nbsp;&nbsp;&nbsp;","Calle San Buenaventura 1 | San Buenaventura, 1, 28005 Madrid, España",646,237,59,7,7
Fundación Mapfre Recoletos,"The building that holds the exhibition halls of Mapfre Foundation was constructed between 1881 and 1884 by the architect Agustín Ortiz de Villajos, for the duchess of Medina de las Torres.The building originally consisted of a height of four floors and semi-basement, but in 1910 two towers were built in the corners. After a series of refurbishment and restructuring projects, the building now has an exhibition area with an approximate surface of 1,000 m2, divided into three halls.This foundation organises painting, sculpture and drawing exhibitions with a focus on the period spanning from the last third of the 19th century to after World War II.Mapfre Foundation has another exhibition hall in Madrid called Sala Bárbara de Braganza. Located very close to Sala Recoletos, it is dedicated to the great masters of photography.","Paseo Recoletos 25, 28004 Madrid, España",426,193,24,3,4
Monumento a Alfonso XII,"Located in the area of the lake in the Retiro Park, which is one of the most visited places in the park, this sculptural and architectonic ensemble pays tribute to King Alfonso XII. Opened by his son, Alfonso XIII in 1922, the monument is inspired by those designed by Victor Manuel II in Rome and William I in Berlin.Designed by the architect from Catalonia, José Grases Riera, the monument consists of a hemicycle with a dual Ionic colonnade, on whose frieze the coats of arms of the different Spanish provinces of the period are sculpted, along with scenes that are reminiscent of typical professions of the region.&nbsp; In the centre, there is a tower on which the equestrian statue of the monarch rises. At his feet, there are steps to the shore of the lake.The equestrian figure that rises up more than 20 metros high was created by the sculptor, Mariano Benlliure, author of great works, such as the sculpture of Goya, alongside the Prado Museum, or some of the pieces that decorate the façade of the Metropolis Building on the Gran Vía. The column on which it is sustained has a viewpoint from where the stately Salamanca neighbourhood, the Literary Quarter or iconic buildings on the Gran Vía can be contemplated.The General Direction Of Intervention In The Urban landscape and cultural heritage of Madrid City Council offers free guided tours to the viewpoint through its official reservation website, https://reservaspatrimonio.es/, at different times of the year.","Plaza Independencia S/N | Parque de Retiro, 28001 Madrid, España",101,76,11,1,0
Edificio Metrópolis,"Located on the corner of Calle Alcalá and Gran Vía, this emblematic building, one of the symbols of the area, was designed in 1905&nbsp;by the French architects,&nbsp;Jules&nbsp;and Raymond Février&nbsp;to house the&nbsp;La Unión and Fénix insurance company, although the final work was carried out by Luis Esteve from Spain.The Metrópolis Building is one of the main icons of the Gran Vía, featuring in thousands of tourist snapshots who photograph the view of this avenue from Plaza de Cibeles.&nbsp;Built on the site of the &ldquo;casa del ataúd&rdquo; (tomb house), so called by locals because of its narrow frontage, it was constructed between 1907 and&nbsp;1910 as the first stretch of the Gran Vía was being created, and it was officially opened on 25 January 1911.This sumptuous construction presides over the beginning of the Gran Vía with its neo-renaissance façade of Corinthian columns and a slate dome with golden incrustations, on which a statue of Victoria rises, which used to be a &nbsp;Phoenix, symbol of the insurance company that initially occupied the building.","Calle de Alcala 42, 28014 Madrid, España",523,332,75,7,3
Casa de la Panaderia,"Commissioned by Philip III, the architect Juan G&oacute;mez de Mora carried out between 1617 and 1619, a profound transformation of the old plaza del Arrabal, turning it into what is now the Plaza Mayor and giving it its main features: a rectangular square, homogeneous at the height of the village and ideal courtly representation space. 
In the centre of the north side, Gomez de Mora joined the building with the Casa de la Panader&iacute;a, modifying only the ground floor, although the height was lower than the rest of the hamlet that formed the plaza.
As the building was a symmetrical composition of four floors and arcade ground floor, with penthouse top floor and the sides crowned by angular towers. The fire of August 1672, the second to be produced in the square, completely destroyed la Casa de la Panader&iacute;a, so the architect Tom&aacute;s Rom&aacute;n undertook the project of reconstruction and the painters Claudio Coello and Jos&eacute; Jim&eacute;nez Donoso completed the interior decoration and frescoes on the fa&ccedil;ade.
Another fire in the summer of 1790 swept three-quarters of the square, but la Casa de la Panader&iacute;a was able to be saved, with its height and architectural features which became standard throughout the plaza in the reconstruction the following year undertaken by Juan de Villanueva.
Today it houses a tourist information point of the Madrid City Hall.","Plaza Mayor 27, 28012 Madrid, España",50,42,6,0,0
Puerta de Alcalá,"Erected in 1778 by Italian architect Francesco Sabatini, this triumphal gate was once the main entrance to the city. It was commissioned by King Charles III - over time nicknamed the Best Mayor of Madrid -, who was unimpressed by the gate that welcomed him when he first arrived in 1759. It is situated next to El Retiro Park in the centre of Plaza de la Independencia, a junction for three of the city&rsquo;s most well-known streets: Calle de Alcalá, the city&rsquo;s longest road, Calle de Alfonso XII, which leads to Atocha train station, and Calle de Serrano, Madrid&rsquo;s most glamorous thoroughfare.Designed by Sabatini, Puerta de Alcalá is a neoclassical triumphal arch made of granite. It was the first of its kind to be built after the fall of the Roman Empire, making it even older than Berlin&rsquo;s Brandenburg Gate or the Arc de Triomphe in Paris. Unlike the smaller Puerta de Toledo and Puerta de San Vicente gates, which are also located in the centre of the city, Puerta de Alcalá has a total of five arches, not three.Each side of the gate has a different design. The one looking towards the city centre is crowned by sculptures of war trophies such as flags, weapons, breastplates and helmets, and its three rounded arches are decorated with the head of a lion. The other side, which is the one travellers would first behold when they arrived in the city, is more ornately decorated and is crowned by the royal coat of arms held up by Fame helped by a child. Along the top of the gate, you&rsquo;ll find the figures of four children that are an allegory of the cardinal virtues: fortitude, justice, temperance and prudence.The gate was given the name Puerta de Alcalá because it was on the road that led to Alcalá de Henares, Cervantes&rsquo;&nbsp;hometown.","Plaza de la Independencia, 1, 28001 Madrid, España",1334,1057,280,15,1
Fuente de Cibeles,"Cibeles Fountain has been standing in this emblematic square since 1782. One of the city&rsquo;s most famous landmarks, it depicts Cybele, the Great Mother of the gods and Roman goddess of fertility, atop a chariot drawn by two lions.It stands in the centre of the Plaza de Cibeles, the square to which it has lent its name and which marks the start of Madrid&rsquo;s avenue of art, the Paseo del Arte. The fountain is flanked by four magnificent buildings: Buenavista Palace (the Army&rsquo;s General Headquarters), Linares Palace (which accommodates the Casa de América cultural institution), Cibeles Palace (previously the main Post Office, it now houses Madrid City Hall and CentroCentro cultural centre), and the Bank of Spain. Commissioned by King Charles III it was designed by renowned Spanish architect Ventura Rodriguez. All three figures were made with purple marble from the town of Montesclaros, in Toledo, and the rest of the monument was carved from stone from Redueña, an area 53km to the north of Madrid, close to the La Cabrera mountain range.When it was first erected, the monument was not only intended to be decorative but also functional, providing water for the official water carriers &ndash; who would deliver water to houses &ndash; and for the general public. It was also used by the cavalry as a water stop for their horses. Today, as well as being one of the city&rsquo;s famous landmarks (and having an identical twin in Mexico City), it&rsquo;s where you should head to if you want to join Real Madrid fans celebrating their team&rsquo;s many victories.","Plaza de Cibeles, Madrid, España",595,409,160,15,5
Palacio de Gaviria,"This 19th-century palace is located on Calle Arenal, a stone&rsquo;s throw from Puerta del Sol. Built between 1846 and 1847 by architect Aníbal Álvarez Bouquel, it was commissioned by banker and stockbroker Manuel Gaviria y Douza, Marquis of Gaviria. One of the most sumptuous palaces of its time, it is an example of Palazzo style architecture.Inaugurated by Queen Isabel II in 1851, it was well-known for the parties it hosted, which could be seen by passers-by through the balconies. Boasting a wonderful interior, particularly noteworthy are the frescoes in the exhibitions rooms, painted by Joaquín Espalter y Rull. The building was declared a Place of Cultural Interest in 1977.Between&nbsp;1991 and 2011, it housed one of the city&rsquo;s most popular nightclubs. After a large renovation, it reopened in 2017 as an exhibition space for Arthemisia, an Italian company specialising in the production, organisation and staging of major exhibitions.","Calle del Arenal 9, 28013 Madrid, España",60,52,15,6,2
